seed,other
415,-0.0331643940950704
8180,-0.00800819493011838
6700,-0.0173240731870958
5749,0.0065881064402971
468,-0.0252314918649404
6550,0.0207958603918418
2595,-0.00306072926249517
944,-0.0413890837115328
2642,-0.0374405116717998
620,-0.0326045992298192
2642,-0.0374405116717998
620,-0.0326045992298192
944,-0.0413890837115328
2213,-0.0704224227803669
7711,-0.0182030030919546
3705,0.00352681674165993
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
4954,-0.141952301191198
2595,-0.00306072926249517
944,-0.0413890837115328
2213,-0.0704224227803669
468,-0.0252314918649404
6550,0.0207958603918418
3514,-0.0512545829285735
5022,0.004919689606594
231,0.0225723945072609
106,-0.0756180509345802
1050,0.0553928449016283
237,0.0242482328066339
415,-0.0331643940950704
8180,-0.00800819493011838
9251,-0.0616749262200367
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
1681,-0.0159201161307188
7711,-0.0182030030919546
3705,0.00352681674165993
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
4954,-0.141952301191198
2595,-0.00306072926249517
944,-0.0413890837115328
2213,-0.0704224227803669
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
1681,-0.0159201161307188
7711,-0.0182030030919546
3705,0.00352681674165993
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
4954,-0.141952301191198
106,-0.0756180509345802
1050,0.0553928449016283
237,0.0242482328066339
415,-0.0331643940950704
8180,-0.00800819493011838
9251,-0.0616749262200367
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
106,-0.0756180509345802
1050,0.0553928449016283
237,0.0242482328066339
415,-0.0331643940950704
8180,-0.00800819493011838
9251,-0.0616749262200367
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
473,-0.0579586326311881
7479,-0.0265399346250514
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
1681,-0.0159201161307188
7711,-0.0182030030919546
3705,0.00352681674165993
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
4954,-0.141952301191198
2595,-0.00306072926249517
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
1681,-0.0159201161307188
2213,-0.0704224227803669
468,-0.0252314918649404
6550,0.0207958603918418
3514,-0.0512545829285735
5022,0.004919689606594
231,0.0225723945072609
106,-0.0756180509345802
1050,0.0553928449016283
237,0.0242482328066339
7479,-0.0265399346250514
2642,-0.0374405116717998
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
1681,-0.0159201161307188
7711,-0.0182030030919546
3705,0.00352681674165993
4954,-0.141952301191198
2595,-0.00306072926249517
944,-0.0413890837115328
2213,-0.0704224227803669
468,-0.0252314918649404
6550,0.0207958603918418
3514,-0.0512545829285735
5022,0.004919689606594
231,0.0225723945072609
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
473,-0.0579586326311881
7479,-0.0265399346250514
1681,-0.0159201161307188
7711,-0.0182030030919546
3705,0.00352681674165993
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
488,-0.0801449616024395
2959,-0.118731880956492
2599,-0.080962724750025
4429,0.00302229227413368
5443,-0.04692429136072
7169,-0.0155920928952178
6348,-0.0554089250094469
7298,-0.00764506907514767
7013,-0.0709158858969346
3085,-0.014262984010729
9143,0.0210398755787148
5582,-0.0574280237969985
4053,-0.0566121108187171
9594,0.0406527247267271
7246,-0.0381712838353027
4954,-0.141952301191198
2595,-0.00306072926249517
944,-0.0413890837115328
9251,-0.0616749262200367
9147,-0.00512860270765816
488,-0.0801449616024395
2959,-0.118731880956492
1050,0.0553928449016283
237,0.0242482328066339
415,-0.0331643940950704
8180,-0.00800819493011838
620,-0.0326045992298192
4807,-0.0692936627602855
6700,-0.0173240731870958
5749,0.0065881064402971
237,0.0242482328066339
415,-0.0331643940950704
8180,-0.00800819493011838
9251,-0.0616749262200367
6550,0.0207958603918418
3514,-0.0512545829285735
5022,0.004919689606594
231,0.0225723945072609
2595,-0.00306072926249517
944,-0.0413890837115328
2213,-0.0704224227803669
468,-0.0252314918649404
3514,-0.0512545829285735
5022,0.004919689606594
231,0.0225723945072609
106,-0.0756180509345802
415,-0.0331643940950704
8180,-0.00800819493011838
9251,-0.0616749262200367
9147,-0.00512860270765816
468,-0.0252314918649404
6550,0.0207958603918418
7479,-0.0265399346250514
2642,-0.0374405116717998
106,-0.0756180509345802
1050,0.0553928449016283
7013,-0.0709158858969346
473,-0.0579586326311881
7013,-0.0709158858969346
473,-0.0579586326311881
7711,-0.0182030030919546
3705,0.00352681674165993
8180,-0.00800819493011838
9251,-0.0616749262200367
7246,-0.0381712838353027
4954,-0.141952301191198
4053,-0.0566121108187171
9594,0.0406527247267271
6348,-0.0554089250094469
7298,-0.00764506907514767
1050,0.0553928449016283
237,0.0242482328066339
237,0.0242482328066339
415,-0.0331643940950704
5443,-0.04692429136072
7169,-0.0155920928952178
106,-0.0756180509345802
1050,0.0553928449016283
5749,0.0065881064402971
1681,-0.0159201161307188
5022,0.004919689606594
231,0.0225723945072609
4429,0.00302229227413368
3514,-0.0512545829285735
6550,0.0207958603918418
2599,-0.080962724750025
